year,team_name,team_id,opponent_name,opponent_id,game_date,team_score,opponent_score,location,neutral_site_location,game_length,attendance
2017,A&M-Corpus Christi,26172,Bradley,72,02/17/2017,10,7,Home,,0 Innings,778
2017,A&M-Corpus Christi,26172,Bradley,72,02/18/2017,5,9,Home,,0 Innings,389
2017,A&M-Corpus Christi,26172,Bradley,72,02/19/2017,6,7,Home,,0 Innings,377
2017,A&M-Corpus Christi,26172,Missouri,434,02/23/2017,6,7,Home,,0 Innings,576
2017,A&M-Corpus Christi,26172,Illinois,301,02/24/2017,14,15,Home,,0 Innings,"2,594"
2017,A&M-Corpus Christi,26172,Missouri,434,02/25/2017,0,9,Home,,0 Innings,"2,647"
2017,A&M-Corpus Christi,26172,Houston,288,02/26/2017,2,4,Home,,0 Innings,"2,506"
2017,A&M-Corpus Christi,26172,UTSA,706,02/28/2017,3,7,Home,,0 Innings,422
2017,A&M-Corpus Christi,26172,UT Arlington,702,03/03/2017,3,7,Home,,0 Innings,417
2017,A&M-Corpus Christi,26172,UT Arlington,702,03/03/2017,6,8,Home,,0 Innings,477
2017,A&M-Corpus Christi,26172,UT Arlington,702,03/05/2017,2,4,Home,,0 Innings,175
2017,A&M-Corpus Christi,26172,Houston-Victoria,,03/07/2017,7,5,Home,,0 Innings,216
2017,A&M-Corpus Christi,26172,Texas,703,03/08/2017,0,15,Away,,0 Innings,"3,954"
2017,A&M-Corpus Christi,26172,UTRGV,536,03/11/2017,4,1,Away,,0 Innings,734
2017,A&M-Corpus Christi,26172,UTRGV,536,03/13/2017,7,6,Away,,0 Innings,849
2017,A&M-Corpus Christi,26172,UTRGV,536,03/13/2017,7,1,Away,,0 Innings,0
2017,A&M-Corpus Christi,26172,Prairie View,553,03/15/2017,11,5,Away,,0 Innings,90
2017,A&M-Corpus Christi,26172,Sam Houston St.,624,03/17/2017,3,12,Away,,0 Innings,"1,028"
2017,A&M-Corpus Christi,26172,Sam Houston St.,624,03/18/2017,1,19,Away,,0 Innings,"1,114"
2017,A&M-Corpus Christi,26172,Sam Houston St.,624,03/19/2017,3,6,Away,,0 Innings,902
2017,A&M-Corpus Christi,26172,Incarnate Word,2743,03/21/2017,10,8,Home,,0 Innings,578
2017,A&M-Corpus Christi,26172,Northwestern St.,508,03/24/2017,3,6,Home,,0 Innings,447
2017,A&M-Corpus Christi,26172,Northwestern St.,508,03/25/2017,9,1,Home,,0 Innings,547
2017,A&M-Corpus Christi,26172,Northwestern St.,508,03/26/2017,14,9,Home,,0 Innings,428
2017,A&M-Corpus Christi,26172,Texas,703,03/28/2017,2,12,Home,,0 Innings,"4,754"
2017,A&M-Corpus Christi,26172,Houston-Victoria,,03/29/2017,3,5,Away,,0 Innings,135
2017,A&M-Corpus Christi,26172,New Orleans,474,03/31/2017,3,10,Away,,0 Innings,341
2017,A&M-Corpus Christi,26172,New Orleans,474,04/01/2017,8,4,Away,,0 Innings,246
2017,A&M-Corpus Christi,26172,New Orleans,474,04/01/2017,9,10,Away,,1 Innings,272
2017,A&M-Corpus Christi,26172,UTSA,706,04/04/2017,5,2,Away,,0 Innings,190
2017,A&M-Corpus Christi,26172,Southeastern La.,655,04/07/2017,3,2,Home,,0 Innings,477
2017,A&M-Corpus Christi,26172,Southeastern La.,655,04/08/2017,5,4,Home,,0 Innings,506
2017,A&M-Corpus Christi,26172,Southeastern La.,655,04/09/2017,5,8,Home,,0 Innings,417
2017,A&M-Corpus Christi,26172,Lamar University,346,04/13/2017,2,4,Away,,0 Innings,649
