"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Jonathan Cornelius","Florida Tech","Sr.","P","14","89.0","119"
"2","Manny Rodriguez","Barry","Jr.","P","13","94.7","111"
"3","Jj Jankowski","Catawba","Jr.","P","15","90.7","106"
"4","Joey Cuda","Eckerd","Jr.","P","14","101.0","105"
"5","Randy Sturgill","California (PA)","Jr.","P","12","75.7","102"
"6","Brian Maloney","Franklin Pierce","Sr.","P","10","74.0","100"
"","Scott Strickland","Armstrong","Jr.","P","14","102.7","100"
"8","Carter Capps","Mount Olive","So.","P","14","89.0","97"
"9","Josh Cagle","Stillman","Jr.","P","14","79.0","96"
"","Jason Postill","West Fla.","Sr.","P","13","89.0","96"
"","Ryan Thompson","Franklin Pierce","So.","P","10","73.0","96"
"12","Chuck Fontana","Molloy","Jr.","P","10","70.0","94"
"","Kirk Jewasko","Incarnate Word","Jr.","P","12","76.3","94"
"14","Jonathan Gonzalez","Adelphi","Sr.","P","11","72.7","92"
"","Don Sandifer","Francis Marion","So.","P","12","91.7","92"
"16","Alex Didio","St. Augustine's","Jr.","P","18","115.3","89"
"","Jack Leathersich","Mass.-Lowell","Jr.","P","10","65.0","89"
"","Ajay Meyer","Ashland","Sr.","P","14","85.0","89"
"19","Nick Lomascolo","Catawba","So.","P","15","93.7","87"
"","Andrew Virgili","Lynn","Jr.","P","13","88.0","87"
"21","Josh McKeon","Upper Iowa","Sr.","P","10","71.7","86"
"22","Felix Cardenas","Tex. Permian Basin","Sr.","P","14","67.0","85"
"","Nick Gillung","Mercyhurst","Sr.","P","11","59.7","85"
"","Dave Middendorf","Northern Ky.","Sr.","P","13","82.3","85"
"","Chris Nelson","Wingate","Sr.","C","13","78.0","85"
"26","Brice Rivenbark","Winston-Salem","Jr.","P","13","69.0","84"
"","Tim Shibuya","UC San Diego","Sr.","P","12","87.3","84"
"28","Thomas Campbell","Columbus St.","Sr.","P","12","88.7","83"
"","Bryan Tuttle","Pfeiffer","So.","P","14","72.0","83"
"30","Ben Hawkins","West Fla.","Jr.","P","13","65.3","82"
"","Blake Hobby","North Ga.","Jr.","P","13","93.3","82"
"32","Joe Holtmeyer","Neb. Omaha","Jr.","P","10","58.7","81"
"","Max Rusch","Flagler","Jr.","P","27","62.3","81"
"34","Josh Corrales","Cal St. Dom. Hills","Jr.","P","12","82.7","80"
"","Nolan Snell","Colorado Mesa","So.","P","12","68.0","80"
"","Jordan Stern","Central Okla.","Sr.","P","12","78.7","80"
"37","Eric Shuford","Pfeiffer","Jr.","P","12","79.3","79"
"","Chris Zbin","Southern Conn. St.","Jr.","P","12","76.7","79"
"39","Aaron Brooks","Cal St. San B'dino","Jr.","P","12","85.7","78"
"","Kevin Earlie","Nyack","Jr.","INF","13","74.0","78"
"","Timothy Flight","Southern N.H.","So.","P","10","70.3","78"
"","Greg Herbst","St. Mary's (TX)","Sr.","1B","13","81.7","78"
"43","Brandon Stewart","St. Augustine's","Sr.","P","17","85.3","77"
"","Sean Tighe","Nova Southeastern","Jr.","P","15","65.3","77"
"45","Dan Bream","Southern Ark.","Sr.","P","14","87.7","76"
"46","Dave Bartuska","Dominican (NY)","Jr.","P","10","66.3","75"
"","Robert Nixon","Adelphi","Sr.","P","11","81.0","75"
"48","Jonathan Armold","Flagler","Jr.","P","14","87.3","74"
"","William Landsheft","Drury","Fr.","P","12","53.3","74"
"","Brad Monroe","Southern N.H.","Jr.","P","11","66.3","74"
"","Kerich Randolph","Elizabeth City St.","Fr.","C","13","70.7","74"
"","Randall Thompson","Florida Tech","Sr.","P","13","85.3","74"
"53","Pete Levitt","Mount Olive","Jr.","P","14","79.3","73"
"","Trey Mitchell","North Ala.","Sr.","P","12","91.7","73"
"","Ken Nesbitt","Albany St. (GA)","Jr.","P","17","99.0","73"
"56","Brett Garrett","Chowan","Jr.","P","17","83.3","72"
"","Cory Hopper","Lander","Jr.","P","14","84.3","72"
"","Thomas McLeod","S.C. Aiken","Jr.","C","15","80.0","72"
"","Vinny Pacchetti","Cal St. Stanislaus","Sr.","P","11","65.0","72"
"","Justin Somers","Wingate","So.","P","16","56.3","72"
"61","Chris Base","Armstrong","Jr.","P","13","99.7","71"
"","Joe Harris","Wilmington (DE)","Sr.","P","12","57.7","71"
"","Steve Paladino","Felician","Fr.","P","12","68.7","71"
"","Jamie Treml","Wilmington (DE)","Fr.","P","14","56.3","71"
"65","Brett Abell","Mo. Southern St.","Jr.","P","13","82.7","70"
