"Rank","Name","Team","Cl","Pos","G","SH"
"1","Michael Cox","East Tex. Baptist","Sr.","INF","37","14"
"2","Nick Beitler","Trine","Jr.","INF","30","13"
"","Sergio Davis","Methodist","Fr.","OF","41","13"
"","Kurt Krout","Shenandoah","So.","SS","39","13"
"5","Derek Layton","Wis.-Oshkosh","So.","OF","32","12"
"","Jason Munoz","La Verne","Sr.","INF","35","12"
"","D.J. Phillips","Guilford","So.","INF","36","12"
"8","Kris Cauchon","Plattsburgh St.","Jr.","2B","31","11"
"","Jordan Martin","Heidelberg","So.","C","35","11"
"10","Daniel Heatwole","Frostburg St.","Sr.","INF","35","10"
"","Matt Mitchell","Averett","Jr.","INF","41","10"
"","Danny Roeser","Plattsburgh St.","Sr.","OF","34","10"
"","Dan Savage","Lynchburg","So.","2B","37","10"
"","Tad Skelley","Wheaton (MA)","Sr.","INF","33","10"
"15","Kevin Bradley","Luther","Jr.","C","33","9"
"","Mike Hoelzel","Ohio Northern","Sr.","INF","35","9"
"","Taylor Hunter","George Fox","Jr.","INF","35","9"
"","Landon McMath","Redlands","Jr.","C","35","9"
"","John Mountz","George Fox","Jr.","1B","19","9"
"","Andy Powell","Hamline","Sr.","INF","31","9"
"","Lee Rozins","Ramapo","Jr.","OF","34","9"
"","Dan Scott","North Central (IL)","Sr.","OF","28","9"
"","Tosh Semlacher","Willamette","Fr.","OF","36","9"
"","Sam Stetzel","Central (IA)","So.","OF","31","9"
"","Ryan Velvick","Coe","Sr.","INF","33","9"
"","Cody Vincent","Rensselaer","Jr.","2B","31","9"
"","Daniel Yancelson","Texas Lutheran","Jr.","INF","43","9"
"28","Lou Argentine","Ursinus","Jr.","INF","34","8"
"","Dave Bartek","Piedmont","Sr.","OF","45","8"
"","Matt Blumenreich","Grinnell","So.","INF","27","8"
"","Anthony Calabrese","Capital","Fr.","INF","30","8"
"","Bobby Corton","St. Mary's (MD)","Sr.","OF","32","8"
"","Michael DeBord","Wooster","Jr.","C","32","8"
"","Andrew DeLuca","Adrian","So.","OF","33","8"
"","Jason Diemer","Texas-Dallas","Sr.","OF","43","8"
"","Pat Driscoll","Ramapo","Sr.","INF","33","8"
"","Kyle Eaves","Texas Lutheran","Sr.","P","41","8"
"","Jake Fletcher","Randolph-Macon","So.","OF","26","8"
"","A.J. Flores","Wm. Paterson","Fr.","OF","38","8"
"","Mark Glennerster","Staten Island","Sr.","INF","29","8"
"","Grant Goodwin","Wittenberg","So.","INF","36","8"
"","Daniel Harvey","Texas Lutheran","Jr.","OF","35","8"
"","Kyle Hobar","Greenville","Sr.","INF","32","8"
"","Matt Irwin","Greensboro","Jr.","INF","35","8"
"","David Kennett","Thomas More","So.","SS","29","8"
"","Erik Kozey","Lakeland","Jr.","P","30","8"
"","Shawn Lovette","Methodist","Sr.","INF","44","8"
"","Cody Meyer","Adrian","So.","SS","33","8"
"","Ethan Miers","Piedmont","Jr.","INF","43","8"
"","Coury Napier","Drew","Sr.","OF","30","8"
"","A.J. Nathan","Ill. Wesleyan","So.","INF","34","8"
"","Cory Nelson","Shenandoah","Jr.","3B","39","8"
"","Jimbo Newcomb","Averett","So.","INF","40","8"
"","Pat Nicholson","Brandeis","Sr.","C","31","8"
"","Mick Ritter","Fontbonne","Jr.","INF","32","8"
"","Kevin Schwartz","Pacific (OR)","Jr.","OF","38","8"
