"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Michael Katz","William & Mary","Jr.","INF","22","98","84"
"2","Nic Wilson","Georgia St.","Sr.","INF","24","93","79"
"3","Daniel Miles","Tennessee Tech","Sr.","3B","24","99","71"
"4","Aaron Mizell","Ga. Southern","Jr.","OF","23","93","69"
"5","Trent Gilbert","Arizona","Jr.","INF","26","104","66"
"","Ryan Seiz","Liberty","Jr.","INF","25","94","66"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","95","66"
"8","A.J. Reed","Kentucky","Jr.","P","24","82","65"
"","Matt Shortall","Texas-Arlington","Sr.","OF","23","109","65"
"10","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","97","64"
"","Emmanuel Marrero","Alabama St.","Jr.","INF","29","109","64"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","98","64"
"","Brett Sullivan","Pacific","So.","SS","26","97","64"
"14","Bradley Zimmer","San Francisco","Jr.","OF","21","89","62"
"15","Aramis Garcia","FIU","Jr.","C","24","89","61"
"","Louie Lechich","San Diego","Sr.","P","23","100","61"
"17","Seth Harrison","La.-Lafayette","Sr.","OF","24","92","60"
"","Ty McFarland","James Madison","Sr.","INF","22","94","60"
"19","Drew Ferguson","Belmont","Jr.","OF","23","83","59"
"","Tyler France","San Diego St.","So.","INF","23","86","59"
"","Brandon Rawe","Morehead St.","Jr.","OF","23","94","59"
"22","Auston Bousfield","Ole Miss","Jr.","OF","25","103","58"
"","Austin Cousino","Kentucky","Jr.","OF","24","105","58"
"","Sasha LaGarde","Mercer","Sr.","OF","25","94","58"
"25","Will Allen","Ole Miss","Sr.","INF","25","98","57"
"","Richard Amion","Alabama St.","Jr.","OF","29","111","57"
"","Mac James","Oklahoma","Jr.","C","24","88","57"
"","DJ Stewart","Florida St.","So.","OF","23","88","57"
"29","Kristian Gayday","IPFW","Sr.","INF","20","68","56"
"","Hunter Haley","Oklahoma","So.","INF","22","91","56"
"","Sheldon Neuse","Oklahoma","Fr.","INF","25","99","56"
"","Nick Thompson","William & Mary","Jr.","INF","22","85","56"
"","Nick Vilter","UC Riverside","Jr.","3B","20","68","56"
"34","Aaron Brown","Pepperdine","Jr.","OF","23","91","55"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","84","55"
"","Connor Joe","San Diego","Jr.","INF","23","92","55"
"","Max Pentecost","Kennesaw St.","Jr.","C","27","112","55"
"","Drew Weeks","North Florida","Jr.","OF","23","93","55"
"39","Sean Godfrey","Ball St.","Sr.","OF","24","101","54"
"","Chase Harris","New Mexico","Sr.","OF","25","108","54"
"","Jordan Luplow","Fresno St.","Jr.","OF","24","91","54"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","92","54"
"","Micheal Thomas","Kentucky","Sr.","C","22","77","54"
"44","Stryker Brown","Ga. Southern","Sr.","INF","25","90","53"
"","Trevin Hall","Troy","Jr.","OF","24","93","53"
"","Chris Marconcini","Duke","Jr.","INF","25","100","53"
"","John Clay Reeves","Rice","Jr.","C","24","94","53"
"48","Jesse Baker","UTSA","So.","INF","24","101","52"
"","Andrew Daniel","San Diego","Jr.","INF","22","92","52"
"","David Hall","Troy","Jr.","OF","22","77","52"
"","Scott Kingery","Arizona","So.","INF","26","95","52"
"","Connor McKay","Kansas","Jr.","OF","24","93","52"
"","Scott Price","Tennessee","Sr.","1B","23","89","52"
"","Bryan Reynolds","Vanderbilt","Fr.","OF","25","97","52"
"55","Matt Dickason","Longwood","Sr.","INF","25","105","51"
"","Clinton Freeman","East Tenn. St.","Sr.","INF","23","95","51"
"","Jeff Gardner","Louisville","Sr.","OF","22","79","51"
"","Mark Payton","Texas","Sr.","OF","25","84","51"
"","Matt Tenaglia","James Madison","Sr.","1B","21","78","51"
"60","Austin Baker","Arkansas St.","So.","OF","23","89","50"
"","Paul DeJong","Illinois St.","So.","INF","20","80","50"
"","Brandon Delk","Longwood","Jr.","OF","25","100","50"
"","Andrew Guillotte","McNeese St.","Jr.","OF","22","101","50"
"","Casey Jones","Elon","Jr.","INF","23","90","50"
"","Adam Martin","Western Caro.","Sr.","C","21","76","50"
"","Bennie Robinson","Florida A&M","Sr.","INF","21","85","50"
"","Alex Tomasovich","Charleston So.","Sr.","INF","25","102","50"
"","Taylor Ward","Fresno St.","So.","C","24","89","50"
"","Tommy Williams","UCF","Jr.","INF","25","103","50"
"70","Drew Adams","Lipscomb","Sr.","OF","25","99","49"
"","Nick Backlund","Mercer","Sr.","1B","25","92","49"
"","Garrett Chapman","Ga. Southern","Fr.","INF","23","89","49"
"","Jace Conrad","La.-Lafayette","Jr.","2B","24","87","49"
"","Joey Epperson","UC Santa Barbara","Sr.","OF","20","75","49"
"","Tyler Filliben","Samford","Jr.","INF","22","83","49"
"","Zach Fish","Oklahoma St.","Jr.","OF","24","84","49"
"","Tyler Kuresa","UC Santa Barbara","Jr.","INF","20","81","49"
"","Ryan O'Hearn","Sam Houston St.","Jr.","INF","24","101","49"
"","Chase Raffield","Georgia St.","Sr.","OF","24","84","49"
"","Christin Stewart","Tennessee","So.","OF","23","87","49"
"","Francisco Tellez","UC Riverside","So.","1B","20","85","49"
"","Nick Torres","Cal Poly","Jr.","OF","23","90","49"
"","Andrew Utterback","Alabama A&M","Jr.","OF","25","80","49"
"","Mike Vigliarolo","Saint Louis","Jr.","INF","22","92","49"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","99","49"
"86","Josh Anderson","FIU","Sr.","INF","24","101","48"
"","Colt Atwood","Sam Houston St.","Jr.","OF","24","104","48"
"","Kelton Caldwell","BYU","Sr.","OF","25","106","48"
"","Dale Carey","Miami (FL)","Sr.","OF","24","94","48"
"","Sam Foy","Davidson","So.","INF","20","86","48"
"","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","84","48"
"","Sean Guite","UNC Greensboro","Sr.","INF","23","90","48"
"","Hunter Higgerson","Radford","Jr.","INF","23","85","48"
"","Adam Kirsch","Texas Tech","Sr.","OF","25","87","48"
"","Ryan Lindemuth","William & Mary","---","2B","22","81","48"
"","Aaron Machbitz","South Dakota St.","Sr.","INF","22","91","48"
"","Ryan McBroom","West Virginia","Sr.","1B","20","78","48"
"","Brian O'Grady","Rutgers","Sr.","OF","20","76","48"
"","Heath Quinn","Samford","Fr.","OF","23","92","48"
"","Edwin Rios","FIU","So.","INF","24","105","48"
"","Ben Slaton","Old Dominion","Sr.","OF","24","98","48"
"","Damek Tomscha","Auburn","Sr.","INF","24","71","48"
"103","Tyson Ashcraft","Lipscomb","Jr.","INF","25","96","47"
"","Forrest Brandt","Davidson","Sr.","OF","20","80","47"
"","Waldyvan Estrada","Alabama St.","Jr.","OF","28","98","47"
"","Anthony Gonsolin","St. Mary's (CA)","So.","INF","23","91","47"
"","Greg Harisis","Santa Clara","Sr.","INF","20","84","47"
"","Jacob Hoyle","Western Caro.","Jr.","P","22","93","47"
"","Zach Krider","USC Upstate","Fr.","INF","25","106","47"
"","Kewby Meyer","Nevada","Jr.","INF","23","97","47"
"","Kevin Newman","Arizona","So.","INF","26","110","47"
"","Dexter Price","Alabama St.","Sr.","INF","29","100","47"
"","Mason Robbins","Southern Miss.","Jr.","OF","24","95","47"
"","Kevin Santana","Lamar","Jr.","INF","25","98","47"
"","Taylor Sparks","UC Irvine","Jr.","INF","23","89","47"
"","Bradley Strong","Western Caro.","Jr.","INF","22","94","47"
"","Tyler Sullivan","Pacific","Jr.","OF","26","101","47"
"","Luke Tendler","N.C. A&T","Sr.","OF","23","80","47"
"","Kyri Washington","Longwood","So.","OF","25","105","47"
"120","Caleb Adams","La.-Lafayette","Jr.","OF","23","68","46"
"","Devan Ahart","Akron","Jr.","OF","19","77","46"
"","Austin Anderson","Ole Miss","Sr.","INF","25","94","46"
"","Tyler Baumgartner","Oregon","Sr.","OF","22","86","46"
"","Jordan Betts","Duke","Sr.","INF","23","89","46"
"","Devin Caldwell","SIU Edwardsville","Sr.","OF","21","85","46"
"","Chase Griffin","Ga. Southern","Jr.","C","25","100","46"
"","Taylor Gushue","Florida","Jr.","C","24","86","46"
"","Eric Gutierrez","Texas Tech","So.","INF","26","88","46"
"","Sean Hagen","Eastern Ky.","Sr.","C","23","81","46"
"","Tim Hoehn","William & Mary","Fr.","INF","22","83","46"
"","Bobby Ison","Charleston So.","Jr.","OF","25","102","46"
"","Troy Kuhn","Ohio St.","So.","INF","22","87","46"
"","Max Kuhn","Kentucky","Jr.","INF","24","99","46"
"","Michael Massi","Mercer","Sr.","INF","25","94","46"
"","Tanner Rockwell","UALR","Jr.","P","21","75","46"
"","Jake Rowland","Tennessee Tech","So.","OF","24","101","46"
"","Gary Russo","Miami (OH)","So.","OF","18","70","46"
"","Michael Strentz","La.-Lafayette","Jr.","C","23","88","46"
"","Jose Trevino","Oral Roberts","Jr.","INF","22","92","46"
"","Zarley Zalewski","Kent St.","So.","INF","20","78","46"
"","Brad Zebedis","Presbyterian","Sr.","1B","25","100","46"
"142","Tommy Cheek","Loyola Marymount","Sr.","INF","24","92","45"
"","Hunter Cole","Georgia","Jr.","OF","25","98","45"
"","Norm Donkin","Delaware","Jr.","OF","22","82","45"
"","Skyler Ewing","Rice","Jr.","INF","25","101","45"
"","Jackson Glines","Michigan","Jr.","OF","24","89","45"
"","Matt Gonzalez","Georgia Tech","So.","INF","24","96","45"
"","Mackenzie Handel","Stephen F. Austin","Sr.","OF","22","78","45"
"","Greg Harrison","Furman","Sr.","1B","24","95","45"
"","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","88","45"
"","Alexander Lee","Radford","Sr.","INF","20","79","45"
"","Grant Massey","Lipscomb","Jr.","INF","25","95","45"
"","Jake Noll","FGCU","Fr.","INF","24","104","45"
"","Evan Ocello","Holy Cross","Jr.","OF","19","83","45"
"","Tj Olesczuk","Winthrop","Sr.","OF","21","74","45"
"","Sikes Orvis","Ole Miss","Jr.","INF","25","81","45"
"","Connor Owings","Coastal Caro.","So.","INF","23","92","45"
"","Mike Papi","Virginia","Jr.","OF","22","77","45"
"","Robert Pehl","Washington","Jr.","2B","22","86","45"
"","Alex Robles","Austin Peay","Fr.","INF","22","83","45"
"","Tyler Slaton","Clemson","Jr.","OF","23","100","45"
"","Dansby Swanson","Vanderbilt","So.","INF","25","98","45"
"","Matt Tellor","Southeast Mo. St.","Sr.","1B","23","97","45"
"","Stephen Vranka","Pittsburgh","Sr.","OF","22","94","45"
"","Boomer White","TCU","So.","C","23","90","45"
"166","Nathan Becker","Davidson","Jr.","OF","17","68","44"
"","Troy Black","Maine","Sr.","INF","24","103","44"
"","Garrett Boulware","Clemson","Jr.","C","23","86","44"
"","Austin Byler","Nevada","Jr.","INF","23","87","44"
"","Alex Close","Liberty","Jr.","C","24","94","44"
"","Matt Conway","Wake Forest","Sr.","INF","24","97","44"
"","Will Craig","Wake Forest","Fr.","INF","25","80","44"
"","Robert Currie","Navy","So.","OF","23","85","44"
"","Chase Davis","UAB","Jr.","OF","25","102","44"
"","J.D. Davis","Cal St. Fullerton","Jr.","INF","21","82","44"
"","Colin Gay","Maine","Sr.","OF","24","98","44"
"","Cole Lankford","Texas A&M","Jr.","C","24","99","44"
"","Travis Maezes","Michigan","So.","INF","23","92","44"
