"Rank","Name","Team","Cl","Pos","G","3B"
"1","Emmanuel Marrero","Alabama St.","Jr.","INF","29","7"
"2","Trent Gilbert","Arizona","Jr.","INF","26","6"
"","Paschal Petrongolo","Jacksonville St.","So.","C","20","6"
"4","Corey Furman","Bucknell","Sr.","OF","15","5"
"","Anthony Gonsolin","St. Mary's (CA)","So.","INF","23","5"
"","Michael Hill","Long Beach St.","Sr.","INF","22","5"
"","Jared Kujawa","Western Mich.","Jr.","OF","20","5"
"","Mark Payton","Texas","Sr.","OF","25","5"
"","Brett Sullivan","Pacific","So.","SS","26","5"
"10","Austin Baker","Arkansas St.","So.","OF","23","4"
"","C.T. Bradford","Mississippi St.","Sr.","INF","18","4"
"","Tyler Gregory","James Madison","Sr.","OF","22","4"
"","Jacob Hayes","Indiana St.","Jr.","INF","20","4"
"","Connor Jones","Villanova","Sr.","OF","21","4"
"","Kyle Kleinendorst","North Dakota St.","Sr.","OF","16","4"
"","Sheldon Neuse","Oklahoma","Fr.","INF","25","4"
"","Brian O'Grady","Rutgers","Sr.","OF","20","4"
"","Steven Patterson","UC Davis","Sr.","INF","20","4"
"","Luke Persico","UCLA","Fr.","INF","22","4"
"","Garrett Russini","Stetson","Jr.","C","24","4"
"","Taylor Sparks","UC Irvine","Jr.","INF","23","4"
"","Andrew Stevenson","LSU","So.","OF","23","4"
"","Bradley Strong","Western Caro.","Jr.","INF","22","4"
"","Stephen Vranka","Pittsburgh","Sr.","OF","22","4"
"","Dustin Williams","Oklahoma St.","Fr.","INF","22","4"
"26","Drew Adams","Lipscomb","Sr.","OF","25","3"
"","Joey Armstrong","UNLV","So.","OF","23","3"
"","Aaron Brown","Pepperdine","Jr.","OF","23","3"
"","Austin Byler","Nevada","Jr.","INF","23","3"
"","Tim Colwell","North Dakota St.","Sr.","OF","16","3"
"","Jon Crucitti","Army","Sr.","OF","20","3"
"","Robert Currie","Navy","So.","OF","23","3"
"","Austin Darby","Nebraska","Jr.","OF","21","3"
"","J.D. Davis","Cal St. Fullerton","Jr.","INF","21","3"
"","Matt Dickason","Longwood","Sr.","INF","25","3"
"","Justin Fletcher","Northern Ill.","So.","INF","22","3"
"","Tom Gavitt","Bryant","Sr.","C","13","3"
"","Cam Gibson","Michigan St.","So.","OF","20","3"
"","Jackson Glines","Michigan","Jr.","OF","24","3"
"","Casey Golden","UNC Wilmington","Fr.","OF","20","3"
"","Chance Gusbeth","Bakersfield","So.","INF","22","3"
"","Seth Harrison","La.-Lafayette","Sr.","OF","24","3"
"","Tim Hoehn","William & Mary","Fr.","INF","22","3"
"","Zach Howell","Texas Southern","Jr.","OF","22","3"
"","Tyler Huntey","Central Mich.","Jr.","INF","23","3"
"","Kevin Husum","James Madison","Jr.","OF","22","3"
"","Alec Keller","Princeton","Sr.","INF","16","3"
"","Michael Ketchmark","Dartmouth","Fr.","INF","8","3"
"","Scott Kingery","Arizona","So.","INF","26","3"
"","Jack Kraft","Coppin St.","So.","P","18","3"
"","Tyler Langley","Central Ark.","So.","OF","22","3"
"","Zach Lauricella","St. John's (NY)","Jr.","OF","23","3"
"","Pete Leonello","LIU Brooklyn","Sr.","OF","18","3"
"","Mark Lumpa","Duke","Sr.","OF","24","3"
"","John Menken","Winthrop","Jr.","OF","24","3"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","3"
"","Kevin Newman","Arizona","So.","INF","26","3"
"","Rob Pescitelli","Quinnipiac","So.","OF","14","3"
"","Michael Pritchard","Nebraska","Sr.","OF","21","3"
"","Jake Romano","Miami (OH)","So.","OF","20","3"
"","Andrew Sohn","Western Mich.","Jr.","INF","20","3"
"","Connor Spencer","UC Irvine","Jr.","INF","23","3"
"","Daniel Spingola","Georgia Tech","Jr.","OF","24","3"
"","Justin Stawychny","La.-Monroe","Jr.","OF","25","3"
"","Christin Stewart","Tennessee","So.","OF","23","3"
"","Demetre Taylor","Eastern Ill.","Jr.","OF","21","3"
"","Jeremy Taylor","East Tenn. St.","So.","OF","21","3"
"","Adam Toth","Baylor","Jr.","OF","23","3"
"","Logan Trowbridge","Bakersfield","Jr.","C","18","3"
"","Matt Williams","Cincinnati","Sr.","INF","22","3"
"","Carl Wise","Col. of Charleston","So.","INF","23","3"
"72","Caleb Adams","La.-Lafayette","Jr.","OF","23","2"
"","Devan Ahart","Akron","Jr.","OF","19","2"
"","Jimmy Allen","Cal Poly","Sr.","INF","23","2"
"","Jonathan Allison","Lipscomb","Jr.","OF","24","2"
"","Richard Amion","Alabama St.","Jr.","OF","29","2"
"","Jay Anderson","Nevada","Jr.","OF","19","2"
"","Max Andresen","Miami (OH)","Jr.","C","16","2"
"","Michael Aquino","Rice","Sr.","OF","25","2"
"","Patrick Armstrong","UNLV","Sr.","INF","22","2"
"","Aaron Attaway","Western Caro.","Sr.","INF","22","2"
"","Jesse Baker","UTSA","So.","INF","24","2"
"","Joe Bamford","Monmouth","Sr.","OF","17","2"
"","Jay Baum","Clemson","Jr.","INF","23","2"
"","Tyler Baumgartner","Oregon","Sr.","OF","22","2"
"","Garrett Bayliff","Wichita St.","Sr.","OF","22","2"
"","Max Beermann","Villanova","So.","1B","21","2"
"","Bill Bereszniewicz","Binghamton","Sr.","OF","18","2"
"","Jordan Betts","Duke","Sr.","INF","23","2"
"","Cole Bieser","Southeast Mo. St.","Sr.","OF","23","2"
"","Braden Bishop","Washington","So.","OF","22","2"
"","Ryan Boldt","Nebraska","Fr.","OF","21","2"
"","Alex Borglin","Central Mich.","Fr.","INF","15","2"
"","Brad Borosak","Navy","Jr.","INF","22","2"
"","Jacob Bosiokovic","Ohio St.","So.","INF","22","2"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","2"
"","Ben Boykin","Col. of Charleston","Sr.","C","20","2"
"","Kyle Brandenburg","High Point","Sr.","2B","23","2"
"","Forrest Brandt","Davidson","Sr.","OF","20","2"
"","Craig Brinkerhoff","Utah Valley","So.","OF","21","2"
"","Bryant Burleson","Texas Tech","Jr.","INF","26","2"
"","Bobby Burns","Morehead St.","Sr.","C","16","2"
"","Justin Burrell","Norfolk St.","Fr.","3B","21","2"
"","Tanner Bush","UNC Asheville","Fr.","OF","13","2"
"","Blake Butler","Col. of Charleston","So.","INF","23","2"
"","Kelton Caldwell","BYU","Sr.","OF","25","2"
"","Tyler Chadwick","Coastal Caro.","So.","INF","17","2"
"","Eric Cheray","Missouri St.","Jr.","INF","21","2"
"","Donandre Clark","St. Mary's (CA)","Jr.","OF","23","2"
"","Andrew Coffman","Northern Colo.","Sr.","C","21","2"
"","Tyler Cohen","Loyola Marymount","Fr.","INF","19","2"
"","Adam Collins","Central Mich.","Fr.","INF","22","2"
"","Dennis Colon","Illinois St.","Jr.","INF","20","2"
"","Michael Conforto","Oregon St.","Jr.","OF","24","2"
"","Chris Cook","East Tenn. St.","Fr.","INF","15","2"
"","Ryan Coppinger","Canisius","Sr.","OF","18","2"
"","Austin Cousino","Kentucky","Jr.","OF","24","2"
"","Gus Craig","Columbia","Jr.","OF","17","2"
"","Nick Crescenzo","Rider","Sr.","OF","19","2"
"","Brandyn Crutcher","Alabama A&M","Jr.","OF","21","2"
"","Bill Cullen","VCU","Sr.","OF","23","2"
"","Bryan Daniello","UConn","So.","INF","20","2"
"","Andre Davis","Ark.-Pine Bluff","Jr.","1B","21","2"
"","Drew DeKerlegand","Citadel","Sr.","OF","24","2"
"","Ben DeLuzio","Florida St.","Fr.","INF","21","2"
"","William Dodd","Belmont","Sr.","OF","17","2"
"","Brian Doran","Maine","Jr.","OF","24","2"
"","Grant Dougherty","Prairie View","Jr.","C","14","2"
"","Edwin Drexler","Grambling","Jr.","OF","21","2"
"","Donny Duschinsky","Southern Ill.","Sr.","INF","22","2"
"","Andrew Ely","Washington","Jr.","INF","22","2"
