"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Michael Letewicz","Augustana (SD)","So.","P","7","19.1","33","15.36"
"2","Mike Eckerle","LIU Post","Jr.","P","3","17.0","27","14.29"
"3","Andrew Geese","Saginaw Valley","Sr.","P","3","16.0","25","14.06"
"4","Aaron Cox","Gannon","So.","P","6","34.0","52","13.76"
"5","Mason McCullough","Lander","Jr.","P","7","30.1","46","13.65"
"6","T.J. Larson","Minn. St. Mankato","Sr.","P","5","20.2","31","13.50"
"7","Danny Wissman","S.C. Aiken","Jr.","P","9","37.2","53","12.66"
"8","Dan Altavilla","Mercyhurst","Jr.","P","4","26.2","37","12.49"
"9","Landon Beck","Anderson (SC)","Jr.","P","11","41.2","57","12.31"
"10","Icezack Flemming","East Central","Jr.","P","10","53.1","72","12.15"
"11","Joe Flynn","Franklin Pierce","Sr.","P","6","29.0","39","12.10"
"12","Shea Spitzbarth","Molloy","So.","P","3","17.1","23","11.94"
"13","Dominic Raia III","Chestnut Hill","Jr.","P","3","16.2","22","11.88"
"14","John Dondero","Queens (NY)","So.","P","4","16.0","21","11.81"
"15","Eric Browning","Wayne St. (NE)","So.","P","4","20.0","26","11.70"
"","Dylan James","West Tex. A&M","Sr.","P","7","50.0","65","11.70"
"17","Andrew Fiddler","Harding","Jr.","P","10","28.2","37","11.62"
"18","Michael Purcell","Trevecca Nazarene","Jr.","P","7","37.0","46","11.19"
"19","Jake Welch","Notre Dame (OH)","Jr.","P","4","25.0","31","11.16"
"20","Jon Klein","Mercyhurst","Jr.","P","4","21.0","26","11.14"
"21","Austin Bueter","Ohio Dominican","So.","P","4","22.2","28","11.12"
"22","John Melville","New Haven","Sr.","P","2","7.1","9","11.05"
"","Alex Miden","Molloy","Sr.","P","3","14.2","18","11.05"
"24","Jay Kluka","Wilmington (DE)","Jr.","P","5","16.1","20","11.02"
"25","Dale Innes","Mars Hill","Sr.","P","10","50.0","61","10.98"
"26","Darrin Pittman","Ark.-Fort Smith","Jr.","P","7","29.2","36","10.92"
"27","Chris Kubitz","St. Cloud St.","Sr.","P","5","22.1","27","10.88"
"28","Tyler Badamo","Dowling","Sr.","P","5","40.0","48","10.80"
"29","Jason Hoppe","Minn. St. Mankato","Sr.","P","5","32.2","39","10.74"
"30","Pat Egan","Southern Conn. St.","Jr.","P","4","19.1","23","10.71"
"31","Ryan Santhon","Cal St. L.A.","Sr.","P","6","28.0","33","10.61"
"32","Brandon Quintero","Cal St. L.A.","So.","P","7","43.1","51","10.59"
"33","Dylan Wisniewski","Saginaw Valley","So.","P","3","15.1","18","10.57"
"34","Conyon Conley","Southeastern Okla.","Sr.","P","6","36.2","43","10.55"
"35","Jake Brandenberger","Flagler","Sr.","P","7","42.2","50","10.55"
"36","Caden Ferguson","Columbus St.","Jr.","P","8","48.0","56","10.50"
"37","Bryan Carr","Saint Rose","Jr.","P","5","22.1","26","10.48"
"38","Dylan Terrell","Lindenwood (MO)","Jr.","P","8","26.2","31","10.46"
"39","William Landsheft","Drury","Sr.","P","5","25.0","29","10.44"
"40","Reese Gregory","St. Cloud St.","So.","P","7","19.0","22","10.42"
"41","Craig Brooks","Catawba","Jr.","P","10","46.2","54","10.41"
"42","Jake DeCarli","LIU Post","Fr.","P","2","13.0","15","10.38"
"43","Justin Cooper","Young Harris","Jr.","P","9","44.1","51","10.35"
"44","Brandon Williams","Central Wash.","---","P","7","35.2","41","10.35"
"45","David Lerro","Philadelphia U.","Jr.","P","6","27.0","31","10.33"
"46","Cory Rhodes","King (TN)","Sr.","P","12","54.1","62","10.27"
"47","Nick Bozman","Urbana","Jr.","P","3","17.2","20","10.19"
"48","Jeffrey Conley","Alderson Broaddus","Sr.","P","5","25.2","29","10.17"
"49","JJ Bessell","Dowling","Sr.","P","4","26.0","29","10.04"
"50","Ryan Taylor","Arkansas Tech","Sr.","P","8","41.1","46","10.02"
"","Cameron Walker","Harding","Sr.","P","7","41.1","46","10.02"
"52","Yaniel Delgado","Benedict","So.","P","13","29.2","33","10.01"
"53","David Reese","Mo. Southern St.","Sr.","P","6","36.0","40","10.00"
"54","Don Crook","Post","Sr.","P","4","24.1","27","9.99"
"55","Mason Crenshaw","Southeastern Okla.","---","P","12","28.0","31","9.96"
