"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Jacob Hadaway","Buena Vista","Fr.","P","3","10.1","1","0.87"
"2","Alex Terry","Chicago","Sr.","P","1","7.2","1","1.17"
"3","Anthony Berroa","Eastern Nazarene","Sr.","INF","2","11.0","2","1.64"
"4","Steven Tantalos","Western Conn. St.","Fr.","P","3","13.0","3","2.08"
"5","Dane O'Neil","Union (NY)","Sr.","P","1","4.0","1","2.25"
"6","Anthony Williford","MacMurray","Sr.","P","2","12.1","4","2.92"
"7","Scott Goldberg","Colby","Jr.","P","1","6.0","2","3.00"
"","James McLamb","Thomas (ME)","Sr.","P","1","3.0","1","3.00"
"","Joe Riley","St. Lawrence","Sr.","P","3","21.0","7","3.00"
"10","Michael Macchia","Montclair St.","So.","P","3","16.0","6","3.38"
"11","Harley Moore","Dickinson","Jr.","P","3","21.0","8","3.43"
"12","Michael Andrews","Framingham St.","Fr.","P","2","13.0","5","3.46"
"13","Joe Pavlovich","Wis.-Oshkosh","Jr.","P","1","5.0","2","3.60"
"","Jeff Schuurmans","Ripon","Jr.","P","3","10.0","4","3.60"
"15","Q. Saunders-Kolberg","Amherst","---","P","2","12.0","5","3.75"
"","Kyle Strom","Northland","---","P","2","12.0","5","3.75"
"17","Jack Dowd","McDaniel","Sr.","P","5","14.1","6","3.77"
"18","Jake Fishman","Union (NY)","Fr.","OF","1","7.0","3","3.86"
"","Bryan Noonan","Marywood","Jr.","P","1","7.0","3","3.86"
"20","Ryan Magni","Fitchburg St.","Jr.","P","4","16.0","7","3.94"
"21","David Jasukonis","Ithaca","Sr.","P","2","8.2","4","4.15"
"","Ryan Redinger","Frostburg St.","Jr.","P","4","26.0","12","4.15"
"23","Christian Herstine","Marietta","So.","P","5","30.0","14","4.20"
"24","Robert Hyde","St. Joseph's (L.I.)","Sr.","P","3","16.1","8","4.41"
"25","Aldo Morales","Johnson & Wales (RI)","Sr.","P","3","18.1","9","4.42"
"26","Taylor Bacon","Thomas (ME)","---","P","1","2.0","1","4.50"
"","Trent Berg","Vassar","Fr.","P","1","6.0","3","4.50"
"","Ryan Kramer","Dickinson","Sr.","P","4","26.0","13","4.50"
"","Tim Locke","Thomas (ME)","Jr.","P","1","2.0","1","4.50"
"","Jake Marchesseault","Johnson & Wales (RI)","So.","P","3","22.0","11","4.50"
"","Andrew Nemmers","Martin Luther","Jr.","P","2","12.0","6","4.50"
