rk,school,div,str,park,ofs,dfs,sos
1,Oregon St.,D1,2.750,0.911,1.305,0.475,1.118
2,North Carolina,D1,2.313,0.996,1.483,0.641,1.155
3,Louisville,D1,2.289,0.993,1.383,0.604,1.076
4,Kentucky,D1,2.150,1.066,1.535,0.714,1.159
5,Cal St. Fullerton,D1,2.116,0.982,1.174,0.555,1.121
6,Long Beach St.,D1,2.085,0.814,1.390,0.667,1.115
7,LSU,D1,2.079,1.002,1.352,0.650,1.152
8,Clemson,D1,2.062,1.038,1.194,0.579,1.158
9,Texas Tech,D1,2.055,1.135,1.347,0.656,1.121
10,Arizona,D1,1.995,1.182,1.473,0.738,1.134
11,Texas,D1,1.964,0.854,1.295,0.659,1.159
12,Virginia,D1,1.916,0.964,1.587,0.828,1.095
13,Wake Forest,D1,1.915,1.100,1.600,0.835,1.101
14,Southern Miss.,D1,1.910,0.997,1.397,0.731,1.064
15,Missouri St.,D1,1.906,0.926,1.238,0.650,1.032
16,South Carolina,D1,1.872,0.965,1.291,0.690,1.164
17,TCU,D1,1.868,0.939,1.439,0.770,1.117
18,Oklahoma,D1,1.846,1.093,1.197,0.649,1.093
19,Vanderbilt,D1,1.827,1.000,1.350,0.739,1.158
20,Florida,D1,1.823,1.028,1.085,0.595,1.180
21,Texas A&M,D1,1.818,0.990,1.353,0.744,1.137
22,St. John's (NY),D1,1.791,1.026,1.344,0.751,0.932
23,Louisiana Tech,D1,1.768,1.041,1.382,0.782,1.046
24,Florida St.,D1,1.758,1.062,1.310,0.745,1.152
25,Arkansas,D1,1.749,1.047,1.278,0.731,1.121
26,South Fla.,D1,1.729,1.045,1.241,0.718,1.066
27,UCF,D1,1.724,0.952,1.221,0.708,1.101
28,Oregon,D1,1.707,0.874,1.011,0.592,1.124
29,Michigan,D1,1.706,0.960,1.295,0.759,1.021
30,Washington,D1,1.700,0.907,1.284,0.755,1.122
31,South Ala.,D1,1.691,1.068,1.393,0.824,1.042
32,Houston,D1,1.689,0.982,1.115,0.660,1.104
33,Auburn,D1,1.643,1.052,1.154,0.702,1.114
34,UConn,D1,1.641,0.948,1.225,0.747,1.074
35,Liberty,D1,1.640,0.976,1.230,0.750,1.012
36,North Georgia,D2,1.631,1.054,1.497,0.539,0.870
37,Coastal Caro.,D1,1.621,1.040,1.212,0.748,1.050
38,North Carolina St.,D1,1.618,1.066,1.258,0.777,1.124
39,Baylor,D1,1.611,1.021,1.117,0.693,1.165
40,Gonzaga,D1,1.609,0.978,1.020,0.634,1.080
41,Nebraska,D1,1.608,0.954,1.091,0.679,1.048
42,West Virginia,D1,1.604,1.041,1.237,0.771,1.118
43,FGCU,D1,1.601,0.956,1.199,0.749,1.018
44,Binghamton,D1,1.595,1.040,1.075,0.674,0.969
45,BYU,D1,1.587,1.271,1.234,0.778,1.040
45,Utah,D1,1.587,1.122,1.214,0.765,1.136
47,Missouri,D1,1.572,1.045,1.216,0.774,1.117
47,San Diego St.,D1,1.572,1.066,1.098,0.699,1.038
49,Sam Houston St.,D1,1.563,1.012,1.244,0.796,1.062
50,UCLA,D1,1.560,1.015,1.227,0.786,1.183
51,Wright St.,D1,1.559,0.949,1.162,0.745,0.986
52,Southeastern La.,D1,1.547,1.039,1.220,0.788,1.075
53,Stanford,D1,1.532,0.923,1.110,0.724,1.162
54,Oklahoma St.,D1,1.521,1.064,1.213,0.798,1.141
55,McNeese,D1,1.518,1.025,1.362,0.897,1.050
56,Ill.-Chicago,D1,1.516,0.948,1.136,0.749,0.962
57,San Diego,D1,1.514,1.036,1.172,0.774,1.098
58,Mississippi St.,D1,1.509,0.992,1.345,0.891,1.164
59,Maryland,D1,1.508,0.997,1.245,0.826,1.032
60,Old Dominion,D1,1.493,1.013,1.241,0.831,1.073
61,Ole Miss,D1,1.481,0.990,0.915,0.618,1.160
62,Oral Roberts,D1,1.476,0.922,1.226,0.831,0.914
63,Louisiana,D1,1.467,0.944,0.985,0.671,1.059
64,Michigan St.,D1,1.461,1.021,1.144,0.783,1.031
65,Charlotte,D1,1.441,1.028,1.135,0.788,1.066
66,New Mexico,D1,1.440,1.337,1.081,0.750,1.094
67,Kent St.,D1,1.422,1.026,1.073,0.755,0.954
68,Georgia Tech,D1,1.416,1.044,1.462,1.033,1.138
69,Mercer,D1,1.407,1.100,1.269,0.902,0.971
70,Azusa Pacific,D2,1.398,1.017,1.513,0.636,0.810
71,East Carolina,D1,1.386,0.959,1.283,0.926,1.116
72,Fla. Southern,D2,1.384,1.046,1.369,0.581,0.915
73,Fla. Atlantic,D1,1.383,1.073,1.426,1.031,1.055
74,Mercyhurst,D2,1.381,0.722,1.352,0.575,0.754
75,Saint Mary's (CA),D1,1.375,0.951,1.186,0.863,1.068
75,FIU,D1,1.375,1.056,1.195,0.869,1.071
77,Tennessee,D1,1.355,0.999,1.161,0.857,1.139
78,Tampa,D2,1.337,1.105,1.583,0.696,0.931
79,William & Mary,D1,1.330,1.097,1.185,0.891,0.995
80,Mount Olive,D2,1.315,1.019,1.228,0.549,0.850
81,Dallas Baptist,D1,1.313,1.120,1.284,0.977,1.027
82,S.C. Aiken,D2,1.305,1.097,1.548,0.697,0.887
83,West Tex. A&M,D2,1.297,1.181,1.172,0.531,0.862
84,Indiana,D1,1.291,1.020,1.118,0.866,1.071
85,North Florida,D1,1.289,1.119,1.013,0.786,1.004
86,UTSA,D1,1.283,1.127,1.153,0.899,1.083
87,Virginia Tech,D1,1.270,1.142,1.267,0.998,1.109
88,Tennessee Tech,D1,1.258,1.135,1.195,0.950,0.951
89,San Francisco,D1,1.254,1.003,1.085,0.865,1.027
90,VCU,D1,1.253,0.990,0.959,0.765,0.961
91,Minnesota,D1,1.251,0.892,1.196,0.956,1.049
92,Rice,D1,1.247,0.947,1.090,0.874,1.149
93,New Orleans,D1,1.223,1.057,1.040,0.850,1.024
94,Lamar University,D1,1.220,0.932,1.100,0.901,1.019
95,California,D1,1.219,0.976,1.192,0.978,1.205
95,Lynn,D2,1.219,1.141,1.773,0.855,0.943
97,Niagara,D1,1.217,0.926,0.987,0.811,0.891
98,Duke,D1,1.210,0.937,1.219,1.008,1.095
99,Rhode Island,D1,1.208,0.879,0.999,0.827,0.977
100,Wichita St.,D1,1.206,0.967,1.039,0.862,1.054
101,Dartmouth,D1,1.195,0.919,1.093,0.915,0.957
102,Hawaii,D1,1.194,0.823,1.177,0.986,1.080
103,Western Caro.,D1,1.192,1.256,1.171,0.982,1.021
104,Bethune-Cookman,D1,1.187,0.985,1.128,0.950,1.000
105,Grand Canyon,D1,1.186,1.065,0.954,0.804,1.022
106,UC Santa Barbara,D1,1.185,1.056,0.978,0.825,1.115
107,Central Mo.,D2,1.181,1.031,1.451,0.722,0.854
108,Georgia,D1,1.179,1.024,0.967,0.821,1.163
109,Chico St.,D2,1.174,0.940,1.344,0.673,0.848
110,Pepperdine,D1,1.173,0.867,1.064,0.907,1.069
111,Washington St.,D1,1.163,1.070,1.176,1.012,1.130
112,Yale,D1,1.157,0.909,1.194,1.032,0.969
112,Texas St.,D1,1.157,1.073,1.228,1.062,1.035
112,Denison,D3,1.157,0.960,1.597,0.556,0.719
115,Nova Southeastern,D2,1.153,1.070,1.649,0.841,0.967
116,Cincinnati,D1,1.150,1.034,0.864,0.752,1.074
117,Ga. Southern,D1,1.148,1.110,0.975,0.849,1.018
118,Angelo St.,D2,1.146,0.973,1.621,0.831,0.883
118,UMass Lowell,D1,1.146,0.850,1.019,0.890,0.981
120,SFA,D1,1.145,0.929,1.062,0.928,1.017
121,Troy,D1,1.142,1.028,1.110,0.972,1.024
122,Dixie St.,D2,1.140,1.138,1.392,0.718,0.818
123,Loyola Marymount,D1,1.138,1.090,0.967,0.850,1.058
124,Jacksonville,D1,1.136,1.045,1.053,0.927,1.030
125,Minnesota St.,D2,1.135,0.987,1.139,0.590,0.748
126,Miami (FL),D1,1.132,1.004,0.809,0.715,1.161
126,Delaware,D1,1.132,1.153,1.083,0.957,0.972
128,Alabama,D1,1.127,0.941,1.077,0.956,1.113
129,Fresno St.,D1,1.126,1.028,1.185,1.052,1.062
130,Emporia St.,D2,1.124,1.058,1.400,0.732,0.841
131,UNC Pembroke,D2,1.122,1.029,1.612,0.845,0.862
132,UT Arlington,D1,1.121,0.918,1.067,0.952,1.065
133,New Mexico St.,D1,1.118,1.444,0.968,0.866,0.989
134,Tulane,D1,1.116,0.908,1.251,1.121,1.150
135,Georgia College,D2,1.108,1.117,1.583,0.840,0.845
136,Sacramento St.,D1,1.104,0.918,0.886,0.803,0.997
137,Seton Hall,D1,1.102,0.897,0.961,0.872,1.019
138,Southern California,D1,1.101,0.941,0.938,0.852,1.165
138,Saint Louis,D1,1.101,1.015,1.003,0.911,0.916
140,Stony Brook,D1,1.097,1.026,1.076,0.981,0.955
141,Southeast Mo. St.,D1,1.094,1.071,1.044,0.954,0.979
142,Kennesaw St.,D1,1.091,1.017,1.171,1.073,1.016
143,ETSU,D1,1.085,1.189,1.050,0.967,0.986
143,CSU Bakersfield,D1,1.085,1.055,1.158,1.067,0.997
145,Marist,D1,1.083,0.888,1.014,0.936,0.913
145,Central Ark.,D1,1.083,1.077,1.014,0.937,1.017
147,Colorado Mesa,D2,1.082,1.133,1.122,0.610,0.791
148,Memphis,D1,1.070,0.969,1.115,1.042,1.075
149,Arizona St.,D1,1.064,1.079,1.052,0.989,1.183
150,West Chester,D2,1.063,0.956,1.326,0.733,0.857
151,UC Irvine,D1,1.062,0.875,1.286,1.211,1.122
152,Pittsburgh,D1,1.061,1.035,0.889,0.837,1.095
152,Iowa,D1,1.061,0.969,1.009,0.951,0.972
152,Col. of Charleston,D1,1.061,1.058,1.153,1.086,1.058
155,UNCG,D1,1.059,1.139,1.070,1.010,0.979
155,UC San Diego,D2,1.059,0.950,1.344,0.746,0.815
157,UNCW,D1,1.057,0.996,1.112,1.053,1.039
158,Kansas St.,D1,1.056,1.010,0.942,0.892,1.119
159,Fairfield,D1,1.054,0.940,0.961,0.912,0.918
160,Jacksonville St.,D1,1.047,0.998,1.012,0.967,0.973
161,Columbus St.,D2,1.044,0.968,1.234,0.695,0.898
161,Ball St.,D1,1.044,1.121,0.905,0.867,0.989
163,Tusculum,D2,1.043,1.032,1.381,0.778,0.874
164,Houston Baptist,D1,1.035,1.158,0.875,0.845,1.008
165,Notre Dame,D1,1.034,0.994,0.886,0.857,1.111
166,North Greenville,D2,1.032,0.979,1.245,0.709,0.833
167,North Ala.,D2,1.030,1.010,1.299,0.741,0.846
168,Purdue,D1,1.027,0.924,1.013,0.987,0.991
169,UC Davis,D1,1.025,0.894,1.119,1.091,1.097
170,Austin Peay,D1,1.022,1.149,1.075,1.052,0.988
171,Florida Tech,D2,1.013,0.955,1.339,0.777,0.922
172,Cal Poly,D1,1.011,0.987,0.855,0.845,1.095
173,Little Rock,D1,1.010,1.053,0.970,0.960,1.020
174,Elon,D1,1.006,1.085,0.838,0.833,1.019
175,Morehead St.,D1,1.001,1.412,1.017,1.016,0.950
176,Western Mich.,D1,0.996,1.002,1.112,1.117,0.947
177,UC Riverside,D1,0.995,1.120,1.000,1.005,1.088
178,Delta St.,D2,0.994,1.007,1.487,0.879,0.849
179,Tufts,D3,0.990,0.899,1.736,0.707,0.692
179,Catawba,D2,0.990,1.172,1.371,0.814,0.887
181,Navy,D1,0.986,0.891,1.229,1.246,0.842
181,SIUE,D1,0.986,0.965,1.124,1.139,0.954
183,CSUN,D1,0.985,1.104,0.903,0.917,1.082
184,Ohio,D1,0.984,1.076,0.824,0.837,0.942
