game_id	section_id	team_id	team_name	team_url	period_scores
3795785	0	694	Tennessee		[0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 14, 2]
3795785	1	28600	Lipscomb		[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
3786485	0	414	Miami (OH)		[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 10, 0]
3786485	1	140	Cincinnati		[2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 8, 0]
3823610	0	107	California		[0, 0, 0, 2, 0, 0, 0, 1, 0, 3, 6, 1]
3823610	1	756	Washington		[0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 12, 0]
3830948	0	606	Saint Joseph's		[0, 0, 0, 1, 0, 0, 3, 0, 0, 4, 8, 0]
3830948	1	248	George Mason		[0, 0, 0, 0, 0, 1, 2, 0, 0, 3, 10, 1]
3837534	0	695	UT Martin		[2, 1, 1, 0, 0, 3, 0, 0, 0, 7, 11, 1]
3837534	1	30153	Union (TN)		[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 2]
3849678	0	99	Long Beach St.		[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 7, 2]
3849678	1	627	San Diego		[0, 0, 3, 2, 0, 1, 0, 0, 0, 6, 7, 1]
3816713	0	482	Niagara		[0, 2, 0, 2, 0, 0, 0, 0, 0, 4, 4, 3]
3816713	1	340	La Salle		[4, 1, 4, 0, 0, 6, 0, 0, 0, 15, 18, 1]
3801627	0	7	Alabama St.		[1, 0, 5, 4, 2, 0, 0, 1, 2, 15, 14, 4]
3801627	1	141	Citadel		[0, 4, 6, 1, 0, 0, 2, 0, 1, 14, 18, 6]
3842962	0	87	Butler		[1, 0, 2, 0, 0, 0, 0, 2, 3, 8, 11, 0]
3842962	1	175	Dayton		[0, 2, 0, 1, 0, 3, 0, 0, 0, 6, 11, 2]
3809245	0	80	Brown		[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 6, 3]
3809245	1	646	South Ala.		[0, 4, 0, 1, 8, 4, 4, 0, 0, 21, 19, 0]
3795787	0	67	Boston College		[2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 9, 3]
3795787	1	365	LSU		[0, 2, 0, 2, 0, 1, 2, 1, 0, 8, 13, 2]
3786635	0	87	Butler		[0, 1, 0, 0, 0, 0, 2, 0, 0, 3, 6, 1]
3786635	1	28600	Lipscomb		[0, 0, 0, 0, 3, 3, 3, 0, 0, 9, 11, 2]
3823611	0	17	Alcorn		[0, 0, 0, 1, 6, 0, 0, 0, 7, 10, 1]
3823611	1	404	Memphis		[4, 6, 0, 0, 0, 2, 4, 1, 17, 22, 0]
3830955	0	83	Bucknell		[0, 0, 1, 0, 0, 0, 1, 2, 3, 0]
3830955	1	726	Navy		[0, 0, 2, 0, 0, 2, 0, 4, 8, 2]
3837546	0	665	Southern U.		[0, 1, 1, 0, 4, 0, 2, 0, 0, 8, 11, 2]
3837546	1	553	Prairie View		[1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 8, 6]
3849689	0	9	UAB		[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0]
3849689	1	8	Alabama		[0, 3, 0, 0, 2, 0, 0, 0, 0, 5, 10, 1]
3816729	0	14	Albany (NY)		[0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 7, 2]
3816729	1	136	Chicago St.		[0, 0, 0, 4, 0, 1, 1, 1, 0, 7, 11, 1]
3801663	0	316	Jacksonville		[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8, 3]
3801663	1	792	Winthrop		[3, 3, 0, 2, 0, 1, 0, 0, 0, 9, 10, 0]
3842975	0	414	Miami (OH)		[0, 0, 4, 2, 2, 2, 0, 2, 0, 12, 12, 2]
3842975	1	71	Bowling Green		[5, 0, 2, 1, 1, 3, 3, 3, 0, 18, 18, 0]
3809246	0	261	Grambling		[0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 5, 4]
3809246	1	699	Texas Southern		[0, 0, 0, 2, 0, 2, 1, 3, 0, 8, 12, 1]
3786927	0	219	Evansville		[1, 0, 2, 0, 0, 0, 0, 0, 0, 3, 9, 1]
3786927	1	32	UALR		[2, 0, 4, 0, 0, 0, 0, 0, 0, 6, 11, 1]
3795790	0	77	BYU		[0, 0, 0, 5, 0, 2, 1, 0, 0, 8, 14, 0]
3795790	1	463	Nebraska		[0, 2, 1, 0, 0, 0, 0, 0, 0, 3, 9, 1]
3823617	0	312	Iowa		[3, 0, 0, 1, 0, 1, 0, 1, 0, 6, 13, 0]
3823617	1	328	Kansas		[0, 0, 0, 1, 3, 0, 0, 0, 0, 4, 7, 0]
3837562	0	786	William & Mary		[0, 2, 0, 3, 0, 0, 0, 1, 1, 7, 14, 1]
3837562	1	711	Towson		[0, 2, 1, 0, 1, 1, 0, 8, 0, 13, 15, 1]
3830957	0	83	Bucknell		[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 8, 3]
3830957	1	726	Navy		[3, 1, 1, 0, 0, 2, 0, 0, 0, 7, 11, 0]
3849693	0	465	UNLV		[0, 0, 5, 0, 0, 2, 0, 0, 0, 7, 11, 3]
3849693	1	370	Loyola Marymount		[0, 0, 3, 0, 2, 2, 0, 0, 1, 8, 11, 1]
3816730	0	434	Missouri		[0, 0, 2, 3, 0, 0, 1, 0, 0, 6, 8, 0]
3816730	1	257	Georgia		[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]
3801664	0	261	Grambling		[0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 4, 1]
3801664	1	528	Oregon St.		[2, 1, 1, 2, 3, 6, 1, 9, 0, 25, 21, 2]
3842985	0	575	Richmond		[0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 1]
3842985	1	193	Duke		[2, 0, 0, 0, 0, 5, 0, 0, 0, 7, 5, 1]
3809247	0	285	Holy Cross		[0, 0, 1, 0, 2, 1, 0, 1, 0, 5, 9, 2]
3809247	1	769	Western Caro.		[1, 0, 0, 0, 3, 0, 3, 0, 0, 7, 8, 3]
3786944	0	392	Maryland		[0, 1, 0, 3, 0, 3, 0, 0, 0, 7, 12, 0]
3786944	1	772	Western Ky.		[2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 4, 0]
