year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	1	26172	A&M-Corpus Chris	7	1770934	Anderson, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770934	So	OF	54	53	""	0.263	0.357	0.428	32	194	51	9	4	83	5	36	25	6	5	2	49	5	3	""	7	""
2017	12560	1	26172	A&M-Corpus Chris	11	1884317	Stark, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884317	Jr	OF	54	54	""	0.325	0.384	0.467	35	212	69	15	3	99	3	32	22	""	3	""	52	4	4	""	5	""
2017	12560	1	26172	A&M-Corpus Chris	23	1546837	Yates, Dawson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546837	Sr	INF	51	49	""	0.314	0.406	0.395	47	185	58	4	1	73	3	27	27	3	2	2	38	5	6	""	11	""
2017	12560	1	26172	A&M-Corpus Chris	16	1770936	Jozwiak, Cullen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770936	Sr	INF	51	51	""	0.291	0.379	0.362	34	196	57	7	2	71	1	31	23	5	""	5	39	2	6	""	6	""
2017	12560	1	26172	A&M-Corpus Chris	10	1546814	Burner, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546814	Sr	SS	48	47	""	0.291	0.354	0.343	25	175	51	7	1	60	""	14	16	1	""	5	14	7	2	""	7	""
2017	12560	1	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546820	Sr	C	44	35	""	0.264	0.306	0.373	10	110	29	4	1	41	2	19	8	""	3	8	17	5	1	""	1	""
2017	12560	1	26172	A&M-Corpus Chris	35	1884356	Burts, Itchy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884356	Fr	INF	43	35	""	0.248	0.271	0.271	25	133	33	3	""	36	""	12	3	2	2	9	14	1	4	""	4	""
2017	12560	1	26172	A&M-Corpus Chris	12	1884313	Owens, Jackson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884313	Jr	OF	41	35	""	0.282	0.347	0.511	20	131	37	7	4	67	5	27	7	6	""	""	27	7	1	""	5	""
2017	12560	1	26172	A&M-Corpus Chris	8	1770935	Deaver, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770935	Sr	OF	38	26	""	0.260	0.333	0.302	16	96	25	4	""	29	""	12	11	""	1	2	12	3	3	""	3	""
2017	12560	1	26172	A&M-Corpus Chris	5	1884316	Boudreaux, Cam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884316	Jr	INF	34	19	""	0.286	0.392	0.365	13	63	18	3	1	23	""	6	9	2	""	2	10	3	""	""	1	""
