year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12560	2	vs_rhp	10581	30093	AUM	1	1871749	Chandler, Donovan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871749	Jr	OF	48	48		0.234	0.400	0.285	31	137	32	5	1	39		10	35	3		4	24	1	2		13	
2017	12560	2	vs_rhp	10581	30093	AUM	4	1871820	Langley, Nathan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871820	Jr	INF	48	48		0.319	0.429	0.437	30	135	43	2	4	59	2	15	20	7	1	7	23	2	5		18	
2017	12560	2	vs_rhp	10581	30093	AUM	17	1871855	Russell, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871855	Jr	OF	47	45		0.280	0.356	0.341	16	132	37	8		45		20	12	4	1		22	1				
2017	12560	2	vs_rhp	10581	30093	AUM	15	1871853	Davis, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871853	Sr	INF	46	43		0.244	0.283	0.291	10	127	31	6		37		22	6	2	3	5	16	2	1		2	
2017	12560	2	vs_rhp	10581	30093	AUM	20	1871857	Cosby, John-Mark	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871857	Sr	INF	46	44		0.328	0.390	0.416	21	137	45	3		57	3	22	12	3	2		21	4	1		3	
2017	12560	2	vs_rhp	10581	30093	AUM	27	1871862	Johnson, Curtiss	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871862	Jr	INF	44	44		0.282	0.371	0.321	17	131	37	2		42	1	21	10	9	1	3	20	6	4		1	
2017	12560	2	vs_rhp	10581	30093	AUM	25	1871860	Flynn, Trevor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871860	Sr	INF	44	41		0.293	0.417	0.328	20	116	34	4		38		23	22	4	2	1	11	5	4		1	
2017	12560	2	vs_rhp	10581	30093	AUM	2	1871818	Tedford, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871818	Sr	INF	40	36		0.274	0.457	0.295	20	95	26	2		28		14	24	8		8	16	2	2		13	
2017	12560	2	vs_rhp	10581	30093	AUM	10	1871880	Davenport, Houston	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871880	Sr	C	38	30		0.272	0.416	0.309	13	81	22			25	1	9	12	8		3	11	1			1	
2017	12560	2	vs_rhp	10581	30093	AUM	8	1871823	Smith, Scotty	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871823	Jr	OF	36	5		0.194	0.286	0.226	9	31	6	1		7		2	4			1	8		1		1	
2017	12560	2	vs_rhp	10581	30093	AUM	19	1871859	Moman, Parker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871859	Jr	C	25	18		0.225	0.340	0.275	8	40	9	2		11		2	5	2		1	11	1			1	
2017	12560	2	vs_rhp	10581	30093	AUM	21	1871858	Johnson, Chase	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871858	Sr	P	21	13		0.200	0.200	0.200	2	10	2			2		0					4					
2017	12560	2	vs_rhp	10581	30093	AUM	33	1871879	Mathereson, Trey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871879	Sr	P	21	12		0.229	0.333	0.257	2	35	8	1		9		3	3	3	1	2	8	1	1			
2017	12560	2	vs_rhp	10581	30093	AUM	36	1871882	Albritton, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871882	Sr	INF	19	4		0.118	0.238	0.235	3	17	2	2		4		2	3		1		4					
2017	12560	2	vs_rhp	10581	30093	AUM	9	1871824	Scott, Hank	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871824	Fr	P	19	10		0.500	0.500	0.500	0	2	1			1		0					1					
2017	12560	2	vs_rhp	10581	30093	AUM	30	1871827	Hillyer, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871827	Fr	INF	18	6		0.200	0.333	0.200	2	10	2			2		0		2		1	1					
