year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2017	12560	1	26172	A&M-Corpus Chris	7	1770934	Anderson, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770934	So	OF	54	53	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	11	1884317	Stark, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884317	Jr	OF	54	54	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	23	1546837	Yates, Dawson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546837	Sr	INF	51	49	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	16	1770936	Jozwiak, Cullen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770936	Sr	INF	51	51	""	7	""	7.71	7.0	""	10	6	6	2	7	""	36	32	1	""	""	1	""	2	""	11	5	""	""	137	10	4	""	""	1	2
2017	12560	1	26172	A&M-Corpus Chris	10	1546814	Burner, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546814	Sr	SS	48	47	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	6	1546820	Hermanson, Lukas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546820	Sr	C	44	35	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	35	1884356	Burts, Itchy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884356	Fr	INF	43	35	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	12	1884313	Owens, Jackson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884313	Jr	OF	41	35	""	4	""	15.00	3.0	""	4	5	5	6	3	""	21	14	3	""	""	""	""	1	""	2	""	""	""	60	2	4	""	""	""	3
2017	12560	1	26172	A&M-Corpus Chris	8	1770935	Deaver, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770935	Sr	OF	38	26	""	5	""	0.00	4.0	""	2	""	""	2	3	""	18	15	""	""	""	""	""	1	""	3	""	""	""	64	4	5	""	""	""	2
2017	12560	1	26172	A&M-Corpus Chris	5	1884316	Boudreaux, Cam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884316	Jr	INF	34	19	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	2	1884359	Marbach, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884359	Fr	INF	33	19	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	18	1652734	Balfantz, Scott	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652734	Jr	C	31	17	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	15	1770948	DiNicola, Harrison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770948	So	P	27	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	28	1770943	Worrell, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770943	So	P	27	3	""	27	3	4.47	52.1	""	48	31	26	27	45	""	233	198	7	1	""	2	7	5	""	17	7	3	""	782	54	49	2	6	2	14
2017	12560	1	26172	A&M-Corpus Chris	29	1546815	Cooper, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546815	Jr	P	25	6	""	25	6	3.78	64.1	""	63	41	27	22	58	""	278	248	9	1	""	5	4	4	""	17	8	2	2	1071	52	70	5	4	7	11
2017	12560	1	26172	A&M-Corpus Chris	34	1884320	Romere, Chad	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884320	Jr	P	23	2	""	22	2	6.23	39.0	""	37	29	27	29	47	""	184	151	5	3	""	3	9	""	1	21	9	2	2	682	29	39	2	1	1	16
2017	12560	1	26172	A&M-Corpus Chris	36	1884354	Djehuti-Mes, Nkosi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884354	So	OF	23	17	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	3	1884314	Rasure, Korey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884314	Jr	P	19	3	""	19	3	6.13	39.2	""	47	29	27	24	30	""	186	150	10	2	2	5	4	5	""	18	12	5	2	684	31	46	1	2	""	12
2017	12560	1	26172	A&M-Corpus Chris	42	1884361	Lacaze, Dustin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884361	Fr	P	19	8	""	15	8	6.00	51.0	""	58	41	34	19	18	""	234	199	12	3	""	2	2	7	1	6	4	7	2	593	78	47	1	3	""	3
2017	12560	1	26172	A&M-Corpus Chris	13	1884319	Ruiz, RJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884319	Jr	INF	18	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	1	1884312	Carter, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884312	Jr	P	17	10	""	17	10	7.06	58.2	""	69	52	46	29	47	""	279	227	10	1	""	5	7	11	""	9	4	8	4	969	54	66	4	5	1	9
2017	12560	1	26172	A&M-Corpus Chris	32	1438825	Holland, Nolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1438825	Sr	P	16	2	""	16	2	9.00	25.0	""	42	28	25	26	14	""	140	106	6	1	""	3	5	6	""	14	10	1	1	525	32	19	""	3	""	6
2017	12560	1	26172	A&M-Corpus Chris	24	1884353	Brokop, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884353	Jr	INF	16	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	20	1546833	Skapura, Devin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546833	Sr	P	15	12	""	15	12	5.16	68.0	""	91	56	39	16	39	""	315	285	23	1	""	6	1	5	""	1	1	7	2	940	84	70	4	5	""	12
2017	12560	1	26172	A&M-Corpus Chris	33	1884355	Glover, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884355	Jr	P	13	4	""	13	4	7.50	24.0	""	32	23	20	16	14	""	122	102	6	""	1	""	6	3	""	7	2	""	1	453	20	34	""	2	""	5
2017	12560	1	26172	A&M-Corpus Chris	38	1884358	Osborn, Drake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884358	Fr	C	12	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	4	1884315	Mahofski, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884315	Jr	INF	11	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	26172	A&M-Corpus Chris	34	1770945	Hanks, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770945	So	P	10	0	""	10	""	6.30	10.0	""	10	7	7	4	10	""	49	37	3	""	""	1	""	5	""	15	11	3	""	186	11	7	3	""	""	5
2017	12560	1	26172	A&M-Corpus Chris	22	1884321	Rhodes, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884321	Jr	P	6	2	""	6	2	9.00	11.0	""	16	15	11	6	11	""	59	47	3	""	""	1	1	3	1	1	1	2	1	214	9	10	""	1	""	2
2017	12560	1	26172	A&M-Corpus Chris	27	1652736	Allec, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652736	Sr	P	5	2	""	5	2	7.71	9.1	""	14	8	8	8	5	""	49	40	5	""	""	""	1	""	1	4	2	""	1	131	8	14	""	""	""	2
2017	12560	1	26172	A&M-Corpus Chris	30	1652724	Lilly, Carter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652724	So	P	2	0	""	2	""	0.00	1.2	""	1	""	""	4	3	""	10	6	""	""	""	""	""	""	""	""	""	""	""	22	1	1	""	""	""	2
2017	12560	1	26172	A&M-Corpus Chris	31	1770937	Philp, Jesse	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770937	So	P	1	0	""	1	""	""	""	""	0	""	""	0	""	""	2	""	""	""	""	""	""	2	""	""	""	""	""	10	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	10	1547029	Crippen, Russell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547029	Sr	INF	56	56	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	12	1767867	Pearson, Mark	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767867	So	SS	56	56	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	7	1767864	Scott, Derek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767864	So	OF	55	55	""	8	6	3.96	36.1	""	40	19	16	10	34	""	156	142	10	1	1	3	1	""	""	5	3	4	""	544	34	35	2	3	""	8
2017	12560	1	2	Abilene Christian	24	1884443	Trevino, Luis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884443	Jr	C	55	55	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	6	1884436	Farkas, Dalon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884436	So	INF	54	51	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	13	1884437	Dominguez, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884437	Fr	INF	53	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	29	1884456	Claborn, Koby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884456	So	INF	51	47	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	9	1547018	Draper, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547018	Sr	3B	50	46	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	26	1884444	Solomon, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884444	Fr	C	48	43	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	5	1884435	Lewis, Bradley	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884435	Jr	OF	31	10	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	11	1884459	Pascahll, Myles	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884459	Fr	OF	26	6	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	41	1884461	Bourland, Lane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884461	Fr	C	26	15	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	33	1884457	Warren, Hillin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884457	Jr	INF	23	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12560	1	2	Abilene Christian	25	1547054	Lambright, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547054	Sr	P	22	2	""	22	2	7.94	39.2	""	38	39	35	32	55	""	193	153	7	1	2	6	9	3	""	16	6	3	2	765	24	39	1	2	3	15
2017	12560	1	2	Abilene Christian	22	1884442	Brewer, Keaton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884442	Sr	P	22	5	""	22	5	9.14	42.1	""	57	53	43	31	34	""	218	178	10	6	""	4	3	6	""	16	10	2	1	847	34	53	1	4	1	10
2017	12560	1	2	Abilene Christian	28	1884455	Smith, Jonah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884455	Fr	P	20	1	""	20	1	3.76	40.2	""	39	20	17	18	15	""	178	149	10	""	""	1	5	8	""	29	14	1	2	633	34	61	1	3	1	5
2017	12560	1	2	Abilene Christian	32	1767887	Ruot, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767887	So	INF	20	2	""	18	1	9.28	21.1	""	39	28	22	8	9	""	112	98	8	3	1	""	4	2	1	20	9	2	2	397	28	24	""	5	""	3
